img,dyn_wgt_sc2_16_201e,dyn_wgt_sc2_4equal_201e,dyn_wgt_sc2_64_201e
dibco13_hw01,14.6799240112,56.7681119442,8.42556405067
dibco13_hw02,0.857828855515,3.15278196335,0.547494888306
dibco13_hw03,0.980459928513,3.52040886879,0.843295097351
dibco13_hw04,16.3374311924,63.5977971554,8.83024907112
dibco13_hw05,15.4011828899,60.5380580425,8.62179493904
dibco13_hw06,13.4338810444,52.5412271023,7.59134411812
dibco13_hw07,1.10265302658,3.91793394089,1.0656850338
dibco13_hw08,11.2786180973,43.9732179642,6.0979578495
dibco13_pr01,1.15035605431,3.97335386276,1.06248497963
dibco13_pr02,1.06726503372,3.76040697098,0.865025997162
dibco13_pr03,0.980406999588,3.5078318119,0.802523136139
dibco13_pr04,1.28865790367,4.41131186485,1.22835302353
dibco13_pr05,0.957364797592,3.44059109688,0.729141950607
dibco13_pr06,1.19753193855,4.14406704903,1.11225199699
dibco13_pr07,0.794502019882,2.91148686409,0.482684135437
dibco13_pr08,0.912723064423,3.27515792847,0.664253950119
dibco09_h01,0.996534109116,3.40730905533,0.770659208298
dibco09_h02,1.04118514061,3.70493197441,0.830178022385
dibco09_h03,0.778980016708,2.88265395164,0.468138933182
dibco09_h04,0.866664886475,3.16398096085,0.566749095917
dibco09_h05,0.933126926422,3.38660883904,0.697631120682
dibco09_p01,0.794924974442,2.91369485855,0.495134830475
dibco09_p02,0.790846824646,2.92859005928,0.489958047867
dibco09_p03,0.838908910751,3.05251216888,0.541071891785
dibco09_p04,0.869303941727,3.17465090752,0.558513879776
dibco09_p05,0.797474861145,2.90873813629,0.48836517334
dibco11_hw1,0.901659011841,3.09265184402,0.609444141388
dibco11_hw2,0.935879945755,3.40396094322,0.772191047668
dibco11_hw3,0.927170991898,3.37941598892,0.68762922287
dibco11_hw4,0.778551101685,2.89309501648,0.469223022461
dibco11_hw5,0.821108102798,3.0234811306,0.522411108017
dibco11_hw6,0.843925952911,3.04435992241,0.545326948166
dibco11_hw7,0.87117099762,3.20016098022,0.563697099686
dibco11_hw8,0.814728975296,2.99038505554,0.503005027771
dibco11_pr1,0.824988126755,3.05019593239,0.528448104858
dibco11_pr2,0.813114881516,3.0084168911,0.506906032562
dibco11_pr3,0.815259933472,3.01104998589,0.507095813751
dibco11_pr4,1.08341193199,3.85809993744,0.888260126114
dibco11_pr5,0.824828147888,3.02542114258,0.517423868179
dibco11_pr6,1.06529784203,3.81679010391,0.87402009964
dibco11_pr7,0.793577194214,2.92826986313,0.484186887741
dibco11_pr8,0.804750919342,2.90774416924,0.489643096924
dibco12_h01,16.7881469727,65.7155599594,9.53042507172
dibco12_h02,0.96117401123,3.51783585548,0.799536943436
dibco12_h03,1.28883695602,4.59751701355,1.31833291054
dibco12_h04,0.911004066467,3.33528804779,0.675966978073
dibco12_h05,0.941714048386,3.4082570076,0.775292873383
dibco12_h06,1.06842494011,3.81360411644,0.88016295433
dibco12_h07,0.79221200943,2.93544101715,0.488380908966
dibco12_h08,0.892408847809,3.27088403702,0.660163164139
dibco12_h09,0.880816936493,3.21731591225,0.645128011703
dibco12_h10,1.16912913322,4.18179321289,1.0770778656
dibco12_h11,1.0830321312,3.89742612839,1.00595998764
dibco12_h12,0.883757829666,3.21371006966,0.651221036911
dibco12_h13,1.10038590431,3.85526895523,0.88935303688
dibco12_h14,1.24002790451,4.43567895889,1.19829177856
dibco10_h01,0.922194004059,3.13884711266,0.633738040924
dibco10_h02,1.03450202942,3.77541589737,0.852160930634
dibco10_h03,0.781641960144,2.91576313972,0.482163906097
dibco10_h04,0.817871809006,3.04007792473,0.529367923737
dibco10_h05,0.87741112709,3.22726988792,0.572590112686
dibco10_h06,0.788200855255,2.91846990585,0.497184038162
dibco10_h07,0.9127368927,3.33284807205,0.676991939545
dibco10_h08,0.901625871658,3.30700397491,0.670696973801
dibco10_h09,0.884458065033,3.23295307159,0.579404115677
dibco10_h10,0.959881067276,3.48199796677,0.793640136719
dibco16_1,1.28032302856,4.16475892067,1.25057291985
dibco16_10,0.668895959854,2.42448496819,0.405303001404
dibco16_2,1.35745406151,4.63824605942,1.38317584991
dibco16_3,11.9357140064,46.4101669788,6.48812198639
dibco16_4,1.10057687759,3.86693286896,0.901911020279
dibco16_5,1.33409500122,4.62244391441,1.36660599709
dibco16_6,0.990878105164,3.51927018166,0.801194906235
dibco16_7,0.885246992111,3.18633985519,0.582504034042
dibco16_8,0.875844955444,3.15610098839,0.561424016953
dibco16_9,0.821058988571,2.96979904175,0.503903865814
dibco14_h01,1.19672513008,3.90214705467,1.01529598236
dibco14_h02,0.95739197731,3.40162396431,0.701955080032
dibco14_h03,17.9855549335,69.9068460464,10.1455771923
dibco14_h04,0.816722154617,2.97032499313,0.501911878586
dibco14_h05,0.807801008224,2.9554131031,0.496631145477
dibco14_h06,0.802982807159,2.94843196869,0.510844945908
dibco14_h07,0.854042053223,3.11554694176,0.551687955856
dibco14_h08,1.07168292999,3.7714600563,0.888630867004
dibco14_h09,0.891067028046,3.23555994034,0.587531805038
dibco14_h10,0.863788843155,3.1569211483,0.56729888916

dyn_wgt_sc2_16_201e 2.22590236885
dyn_wgt_sc2_4equal_201e 8.4148832615
dyn_wgt_sc2_64_201e 1.41210152382
